X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.17625,40.7689,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRqdepVHmIAqMYndo_uCVBvkN_ix0I6ihUh0Bq_jRw8eZslgJeQNGjzLn_eUTuEv-IGl4u4bShnaVgk8BNFIxQhyhQwNlA8khqHf3AJf4qnL5qyDVDn12hT8_Zx4ovM27FtjKQsnl_Gh_cYnhNQchItIlpgD4bjBoVw8dzFJkCraNqnk68BCkHMjBXp6HIaPwxfcf_dMNT48ZeFgqnqMbBx1WxRn8julOiW8Kz9Ql6WS66Dcxwumm-aF1c?authuser=0&fife=s16383
-74.17487,40.76896,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRqD_WGSDov_sS1WRh6Ra17ymMVkS8UB4in1HiCYzAmRUYE4T5cTOF5JIIRhdI1_aGE0UKFiXtFigQ0mQ62vAp4FoU6ezUhAytlgdN_J-zVZI7DGNf7SE-xiNhDorlUWbEDU5NPsg1TGMs3oBYvSeqFGozZAKCls5XpaoX5hz1XL1HojZ4C49-LY7kgWBvE4wE92jGOBnVO7jzJpsNTY0Z8jG5xGTFYBlQ2jDP8kZYx7KV6gJCuIrbZWDM?authuser=0&fife=s16383
-74.17616,40.76894,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQzf2Tf10VdgiF3kL3-nD6LYXU2WKVGCLcVOzIwUyOASWZ1aqaN4K5Iqj2nPmKBYTO-IMxD8PExE4EbE_fA9uBpDSNTsmreRHEbrG6zkWnbSwDUaKZi_YNF3H7Df6gOY2SR_YbXAFAD2MerDsmnC9abXsPpbv4PGIVS32LpkeHoIqr94XqmdBaEprTC7sq1icGW2l25ZeU7H0remRpQNEhIwnprnx_owN3qvg8fzv2TXCG7YwNtuiujVQM?authuser=0&fife=s16383
-74.17572,40.76929,,,3/26,Zone 4,large,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQJbCDELgFnMUHoZH_YQK_tbTml2863QTRSjkLgHGegT0Jnqk5D5ehhpx_Z4etqY3TaHqTA4t_4mTWnXyu_CpDgKpjKbUd3WNrdShQipyglXEdRKRuhnQYLELVffAnyVY6jg9Mk-HRZvzcvZh_Zu4_9NGKnIpcHE7rdZirFnLgzTwBJOqmTW_2U1305KmXQx-LbAnF7z9dgXc564dtTQ8WpWfV_0gsMtOXiecDqNZCewOtF-JU_UHOJudM?authuser=0&fife=s16383
-74.17484,40.76864,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGR4NLagcC72mACBfL17uaRzBNwXMUzgW-YbX5GV_bOs6tH7ZWeoji-i0oZ_kHfVqevK-NyCtP__O29PjezB5TFGOSTqP_mmt8KcC0YH4AT_CmnhkRfiRp3ZzyzMfl2g8Ssxc_noGF-H5p1tOYO5bwN_fHAL3U5b6y-hUUEu33BKQug0pstNIprgOXYvVqX0Job-WzvkyfNT7CJx2bmPj1E05whBrUYImQ1T2iyysi_cvqgVgX66tthhQ84?authuser=0&fife=s16383
-74.176,40.77,,,3/26,Zone 4,large,large,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGSTDpY5fBBeMFbyOAFxo6r2sZuANGFqqTekf_qH2heefjAi1dgmv8jcQoCy4eeLxRIR-kMBUv7nmxI60tgtL76Whirtg_WRJuH6gGIMhcGmZXD4RqCWolrN5B_XnQRhKtYna11ZcLNRbyRJmsLaWikIzVA9HXQPVcZILcAVlsItray0xFIZgl3OWAX5ykhHSolZyGjp4EvhKtn2fdm2LopIGdklEIySzbbImmOwv0TqZdU9-BNEcewQ_WA?authuser=0&fife=s16383
-74.17608,40.76894,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRMttCmrv8T2hDC3sJuO-ChWMXXsg8HVPv_5lDWzm9HS9IszFEm0fpsXhW756996yXXd2xlh9Ab8edNG7MBvqqa9C9WEj89CQGbd9M47fWCi1boDqdCQygerRnxpHeLf6x9mV2C49_osppl8xqT6O6QMOKY00nSYo_WH0de772cUXFmFhgLFPDvKUDUFS0bN_0zIP9c6MhBK5i31H52U7FRGsJoKEq4kwQQ5OCYlNUNDYH662jUL68y7GM?authuser=0&fife=s16383
-74.17617,40.76888,,,3/26,Zone 4,medium,medium,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGTy3a2k84FtFc_6MX4OGaBvLSc4O0gSwEhxTbxDPX80cLEqfjIksmPknUjdKWRIpt-dLYkmmlCR8apZWPeWvuHxGrxefkSzTMBtpmlAgC7zPGCXdKGwiTVhBWQveuXqyHYVlXb7yVMnARc6dey_mCwoKQeRI_1eDxwWfZdmwKDNsjZuVhp3AZrBWAHn7N8oFWRWR2yOwe_tDjnJLBZGCfC4fFm0uxsb1AVNSs7yQ0HgNFy3I6uEmjQr4lc?authuser=0&fife=s16383
-74.17535,40.7697,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGRYrqxOolrTZEoVVNtIrrFyIT8kEN4Ceg1P_m8QsAG0lCfbIERCtPZvvG1kIDrHqM-9yM5zxB7xzDI71OEFCapoBDZbaeH1lQmwXTYA2k-4YqJ2ED4SJXCkhJqTTyA7TUK2zqtYVsRaFx-M-c0_RwJMijO8w9yYOHfzSobh4w8pRAqapbqCpKVOQ4jL7FWaeLYeI5oKKJAfJ5jmeT2rT5ZrGlBQ2aTnc2mb93V-35_LwLEtXel6lyMkKF8?authuser=0&fife=s16383
-74.176,40.76882,,,3/26,Zone 4,medium,small,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQkabCzlSc9SBR2LmyxBdKbZF3KDAKp4NgUroIxNnItIEvLQy8kHiVic41FNsb8zilleWpmBsU5Kd1fr18WD2mJ1DzAhq7XsGx4tMS-qN5TFhO_gO18GZ1adKovrldh1HPIGmw8ctsWeRiyGW-ZymB5f2Hw24n-kBFiOESzu4fpVLhYZ1WmyZgWutcgRNg0jBMsWpXcXoJDLwwwL8LOw0x5Z0E8cUmAOdgvcxZtThrPfpTa41yuKycSHfs?authuser=0&fife=s16383
