X,Y,Name,Description,Date,Zone,Diameter,Length,Image
-74.17457,40.76906,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_48.jpg
-74.1749799,40.771,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_49.jpg
-74.1753,40.77048,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_50.jpg
-74.17639,40.76881,,,3/26,4,large,medium,
-74.17622,40.76841,,,3/26,4,medium,small,
-74.17625,40.76881,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_53.jpg
-74.17655,40.76871,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_54.jpg
-74.17596,40.76832,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_55.jpg
-74.17637,40.76872,,,3/26,4,large,small,
-74.1754,40.77061,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_57.jpg
-74.1755,40.77061,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_58.jpg
-74.1752675,40.7705312,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_59.jpg
-74.17637,40.76872,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_60.jpg
-74.17549,40.77066,,,3/26,4,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_61.jpg
-74.17548,40.77072,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_62.jpg
-74.175063,40.7701056,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_63.jpg
-74.17559,40.77068,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_64.jpg
-74.1750456,40.7700325,,,3/26,4,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_65.jpg
-74.17539,40.77058,,,3/26,4,large,large,
-74.17626,40.76871,,,3/26,4,,,
-74.17632,40.76869,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_68.jpg
-74.17562,40.77092,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_69.jpg
-74.17574,40.77077,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_70.jpg
-74.176,40.77087,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_71.jpg
-74.175,40.77,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_72.jpg
-74.17575,40.77086,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_73.jpg
-74.17568,40.7707,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_74.jpg
-74.17614,40.77101,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_75.jpg
-74.176,40.771,,,3/26,4,medium,large,
-74.17611,40.77097,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_77.jpg
-74.17568,40.77068,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_78.jpg
-74.17618,40.77096,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_79.jpg
-74.1763543,40.7687842,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_80.jpg
-74.17593,40.77094,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_81.jpg
-74.17617,40.77097,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_82.jpg
-74.17646,40.76871,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_83.jpg
-74.17808,40.77057,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_84.jpg
-74.17595,40.77091,,,3/26,4,medium,medium,
-74.17722,40.77015,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_86.jpg
-74.17598,40.76886,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_87.jpg
-74.17583,40.77083,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_88.jpg
-74.17659,40.77104,,,3/26,4,medium,medium,
-74.17601,40.76889,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_90.jpg
-74.17582,40.77097,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_91.jpg
-74.17648,40.76871,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_92.jpg
-74.17696,40.77112,,,3/26,4,large,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_93.jpg
-74.17607,40.77086,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_94.jpg
-74.17643,40.76868,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_95.jpg
-74.176,40.771,,,3/26,4,large,large,
-74.17641,40.76874,,,3/26,4,medium,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_97.jpg
-74.17788,40.77096,,,3/26,4,large,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_98.jpg
-74.17594,40.77088,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_99.jpg
-74.176,40.7709,,,3/23,4,medium,small,
-74.17779,40.7702,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_101.jpg
-74.17686,40.7712,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_102.jpg
-74.1769901,40.7712922,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_103.jpg
-74.17695,40.77123,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_104.jpg
-74.17831,40.77081,,,3/26,4,large,large,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_105.jpg
-74.17866,40.77148,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_106.jpg
-74.17697,40.77194,,,3/26,4,medium,medium,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_107.jpg
-74.17814,40.77082,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_108.jpg
-74.1771,40.77131,,,3/26,4,medium,small,https://storage.googleapis.com/branch-brook-park-app.firebasestorage.app/trees/tree_109.jpg
